user_id,movie_id,rating,created_at
1,27,8.0,2025-04-01 12:31:31.307808
1,52,6.2,2024-08-08 12:31:31.307808
1,33,6.5,2024-06-19 12:31:31.308808
1,26,9.0,2024-12-06 12:31:31.308808
1,37,4.6,2025-02-13 12:31:31.308808
1,89,5.9,2025-02-22 12:31:31.309808
1,21,5.7,2024-12-11 12:31:31.309808
1,99,2.7,2024-10-15 12:31:31.310314
1,36,1.5,2024-07-19 12:31:31.310314
1,7,2.0,2024-10-25 12:31:31.310314
1,61,8.8,2025-02-18 12:31:31.310314
1,54,3.4,2024-12-22 12:31:31.311315
1,97,1.8,2024-05-01 12:31:31.311315
1,79,7.7,2024-06-04 12:31:31.311315
1,46,1.8,2024-05-09 12:31:31.312317
1,30,2.4,2025-02-24 12:31:31.312317
1,53,4.0,2025-01-07 12:31:31.312317
1,65,5.8,2025-03-17 12:31:31.312317
1,28,5.1,2025-01-23 12:31:31.313317
1,82,6.5,2024-08-24 12:31:31.313317
2,69,9.0,2024-09-17 12:31:31.314317
2,50,8.6,2024-12-05 12:31:31.314317
2,6,9.7,2024-09-26 12:31:31.314317
2,24,9.2,2024-04-29 12:31:31.314317
2,92,7.3,2024-09-21 12:31:31.314317
2,80,1.3,2025-02-16 12:31:31.314317
2,28,4.4,2024-08-10 12:31:31.314317
2,47,5.4,2024-06-09 12:31:31.315822
2,72,4.8,2024-10-21 12:31:31.315822
2,16,4.8,2024-12-20 12:31:31.315822
2,22,6.6,2024-04-22 12:31:31.315822
2,86,5.7,2024-04-25 12:31:31.316826
2,59,7.1,2024-05-24 12:31:31.316826
2,55,3.1,2024-10-20 12:31:31.316826
2,87,1.8,2025-02-15 12:31:31.317826
2,39,5.9,2025-02-07 12:31:31.317826
2,60,1.8,2024-07-08 12:31:31.317826
2,79,7.6,2024-07-03 12:31:31.317826
2,25,6.8,2024-07-03 12:31:31.317826
2,70,6.4,2024-07-08 12:31:31.318826
3,13,8.8,2024-11-04 12:31:31.318826
3,94,8.9,2024-04-27 12:31:31.318826
3,28,8.4,2024-05-22 12:31:31.318826
